VIN,VOUT,VREF
2.268,2.343397643,-0.25
2.354,2.418811259,-0.25
2.44,2.49480529,-0.25
2.526,2.57133713,-0.25
2.612,2.648377483,-0.25
2.698,2.725906993,-0.25
2.784,2.803913218,-0.25
2.87,2.882387847,-0.25
2.956,2.961324158,-0.25
3.042,3.040714716,-0.25
3.128,3.120548628,-0.25
3.214,3.200793909,-0.25
3.3,3.277882951,-0.25
-1,1.649490581,-0.75
-0.914,1.649490581,-0.75
-0.828,1.64949058,-0.75
-0.742,1.64949058,-0.75
-0.656,1.64949058,-0.75
-0.57,1.64949058,-0.75
-0.484,1.64949058,-0.75
-0.398,1.64949058,-0.75
-0.312,1.649490579,-0.75
-0.226,1.649490579,-0.75
-0.14,1.64949058,-0.75
-0.054,1.649490581,-0.75
0.032,1.649490584,-0.75
0.118,1.649490597,-0.75
0.204,1.649490638,-0.75
0.29,1.649490773,-0.75
0.376,1.649491203,-0.75
0.462,1.649492542,-0.75
0.548,1.649496646,-0.75
0.634,1.649508988,-0.75
0.72,1.64954546,-0.75
0.806,1.649651339,-0.75
0.892,1.649952809,-0.75
0.978,1.650790495,-0.75
1.064,1.653031086,-0.75
1.15,1.65862114,-0.75
1.236,1.670935449,-0.75
1.322,1.693582788,-0.75
1.408,1.727947086,-0.75
1.494,1.772647063,-0.75
1.58,1.825232202,-0.75
1.666,1.883542281,-0.75
1.752,1.946010511,-0.75
1.838,2.011555769,-0.75
1.924,2.079433082,-0.75
2.01,2.149121488,-0.75
2.096,2.220249765,-0.75
2.182,2.292548684,-0.75
2.268,2.365820256,-0.75
2.354,2.439917638,-0.75
2.44,2.514731701,-0.75
2.526,2.590181817,-0.75
2.612,2.666209289,-0.75
2.698,2.742772432,-0.75
2.784,2.819842645,-0.75
2.87,2.897401061,-0.75
2.956,2.975435491,-0.75
3.042,3.053937466,-0.75
3.128,3.132898231,-0.75
3.214,3.212279547,-0.75
3.3,3.283360649,-0.75
-1,1.649977555,-1
-0.914,1.649977555,-1
-0.828,1.649977554,-1
-0.742,1.649977554,-1
-0.656,1.649977554,-1
-0.57,1.649977554,-1
-0.484,1.649977554,-1
-0.398,1.649977553,-1
-0.312,1.649977553,-1
-0.226,1.649977553,-1
-0.14,1.649977553,-1
-0.054,1.649977554,-1
0.032,1.649977558,-1
0.118,1.64997757,-1
0.204,1.649977612,-1
0.29,1.649977746,-1
0.376,1.649978172,-1
0.462,1.649979504,-1
0.548,1.649983581,-1
0.634,1.649995847,-1
0.72,1.650032099,-1
0.806,1.650137346,-1
0.892,1.650437053,-1
0.978,1.651269979,-1
1.064,1.653498467,-1
1.15,1.659061269,-1
1.236,1.671326377,-1
1.322,1.69390833,-1
1.408,1.728208191,-1
1.494,1.772856416,-1
1.58,1.825403542,-1
1.666,1.883686148,-1
1.752,1.946134257,-1
1.838,2.011664445,-1
1.924,2.079530188,-1
2.01,2.149209498,-1
2.096,2.220330458,-1
2.182,2.292623361,-1
2.268,2.365889879,-1
2.354,2.439982921,-1
2.44,2.514793175,-1
2.526,2.590239872,-1
2.612,2.666264205,-1
2.698,2.742824404,-1
2.784,2.819891806,-1
2.87,2.897447494,-1
2.956,2.975479253,-1
3.042,3.053978595,-1
3.128,3.132936763,-1
3.214,3.212315478,-1
3.3,3.283376317,-1
