VIN,VSS,VDD,IDD,ISS,VREF,IIN,VOUT,@TIME
2.0,0.0,3.3,8.4816e-10,-8.6408e-10,0.5,9.91e+307,1.526316,85.0
2.0,0.0,3.3,8.4818e-10,-8.6493e-10,0.5,9.91e+307,1.526346,86.0
2.0,0.0,3.3,8.4971e-10,-8.6444e-10,0.5,9.91e+307,1.526256,87.0
2.0,0.0,3.3,8.5059e-10,-8.6281e-10,0.5,9.91e+307,1.526272,88.0
2.0,0.0,3.3,8.5387e-10,-8.6501e-10,0.5,9.91e+307,1.52618,89.0
2.0,0.0,3.3,8.5044e-10,-8.6281e-10,0.5,9.91e+307,1.526162,90.0
2.0,0.0,3.3,8.511e-10,-8.6505e-10,0.5,9.91e+307,1.52604,91.0
2.0,0.0,3.3,8.5277e-10,-8.6545e-10,0.5,9.91e+307,1.52612,92.0
2.0,0.0,3.3,8.5086e-10,-8.6612e-10,0.5,9.91e+307,1.526178,93.0
2.0,0.0,3.3,8.4854e-10,-8.6367e-10,0.5,9.91e+307,1.526254,94.0
2.0,0.0,3.3,8.4635e-10,-8.6325e-10,0.5,9.91e+307,1.526416,95.0
2.0,0.0,3.3,8.4991e-10,-8.6266e-10,0.5,9.91e+307,1.52616,96.0
2.0,0.0,3.3,8.4835e-10,-8.6331e-10,0.5,9.91e+307,1.52632,97.0
2.0,0.0,3.3,8.4852e-10,-8.624e-10,0.5,9.91e+307,1.526284,98.0
2.0,0.0,3.3,8.4983e-10,-8.651e-10,0.5,9.91e+307,1.526202,99.0
2.0,0.0,3.3,8.4976e-10,-8.6466e-10,0.5,9.91e+307,1.526172,100.0
2.0,0.0,3.3,8.4972e-10,-8.6586e-10,0.5,9.91e+307,1.526188,101.0
2.0,0.0,3.3,8.5005e-10,-8.6531e-10,0.5,9.91e+307,1.526314,102.0
2.0,0.0,3.3,8.5251e-10,-8.6689e-10,0.5,9.91e+307,1.52615,103.0
2.0,0.0,3.3,8.4898e-10,-8.6378e-10,0.5,9.91e+307,1.526112,104.0
2.0,0.0,3.3,8.5107e-10,-8.6556e-10,0.5,9.91e+307,1.526158,105.0
2.0,0.0,3.3,8.5434e-10,-8.6421e-10,0.5,9.91e+307,1.52608,106.0
2.0,0.0,3.3,8.4807e-10,-8.6434e-10,0.5,9.91e+307,1.526176,107.0
2.0,0.0,3.3,8.5135e-10,-8.6521e-10,0.5,9.91e+307,1.526074,108.0
2.0,0.0,3.3,8.4852e-10,-8.6258e-10,0.5,9.91e+307,1.526168,109.0
2.0,0.0,3.3,8.5058e-10,-8.6478e-10,0.5,9.91e+307,1.52621,110.0
2.0,0.0,3.3,8.4599e-10,-8.6478e-10,0.5,9.91e+307,1.526386,111.0
2.0,0.0,3.3,8.4748e-10,-8.6467e-10,0.5,9.91e+307,1.52639,112.0
2.0,0.0,3.3,8.4445e-10,-8.6294e-10,0.5,9.91e+307,1.52638,113.0
2.0,0.0,3.3,8.4815e-10,-8.6297e-10,0.5,9.91e+307,1.52625,114.0
2.0,0.0,3.3,8.4971e-10,-8.668e-10,0.5,9.91e+307,1.526216,115.0
2.0,0.0,3.3,8.4838e-10,-8.6606e-10,0.5,9.91e+307,1.526298,116.0
2.0,0.0,3.3,8.505e-10,-8.6643e-10,0.5,9.91e+307,1.526284,117.0
2.0,0.0,3.3,8.4994e-10,-8.6283e-10,0.5,9.91e+307,1.526234,118.0
2.0,0.0,3.3,8.4969e-10,-8.6516e-10,0.5,9.91e+307,1.526392,119.0
2.0,0.0,3.3,8.4907e-10,-8.6649e-10,0.5,9.91e+307,1.526332,120.0
2.0,0.0,3.3,8.4896e-10,-8.6605e-10,0.5,9.91e+307,1.526266,121.0
2.0,0.0,3.3,8.503e-10,-8.6597e-10,0.5,9.91e+307,1.52624,122.0
2.0,0.0,3.3,8.5002e-10,-8.6587e-10,0.5,9.91e+307,1.526334,123.0
2.0,0.0,3.3,8.5048e-10,-8.6544e-10,0.5,9.91e+307,1.526186,124.0
2.0,0.0,3.3,8.5185e-10,-8.6579e-10,0.5,9.91e+307,1.525992,125.0
2.0,0.0,3.3,8.4983e-10,-8.6548e-10,0.5,9.91e+307,1.526046,126.0
2.0,0.0,3.3,8.5113e-10,-8.6544e-10,0.5,9.91e+307,1.526264,127.0
2.0,0.0,3.3,8.4921e-10,-8.6564e-10,0.5,9.91e+307,1.526122,128.0
2.0,0.0,3.3,8.5277e-10,-8.6646e-10,0.5,9.91e+307,1.526084,129.0
2.0,0.0,3.3,8.5107e-10,-8.6637e-10,0.5,9.91e+307,1.526042,130.0
2.0,0.0,3.3,8.543e-10,-8.6579e-10,0.5,9.91e+307,1.525968,131.0
2.0,0.0,3.3,8.5275e-10,-8.6661e-10,0.5,9.91e+307,1.526136,132.0
2.0,0.0,3.3,8.4952e-10,-8.6538e-10,0.5,9.91e+307,1.526216,133.0
2.0,0.0,3.3,8.5065e-10,-8.6558e-10,0.5,9.91e+307,1.526144,134.0
2.0,0.0,3.3,8.5286e-10,-8.6516e-10,0.5,9.91e+307,1.526048,135.0
2.0,0.0,3.3,8.5276e-10,-8.6341e-10,0.5,9.91e+307,1.526058,136.0
2.0,0.0,3.3,8.5188e-10,-8.6769e-10,0.5,9.91e+307,1.526132,137.0
2.0,0.0,3.3,8.4825e-10,-8.6597e-10,0.5,9.91e+307,1.52624,138.0
2.0,0.0,3.3,8.5229e-10,-8.6534e-10,0.5,9.91e+307,1.526162,139.0
2.0,0.0,3.3,8.5195e-10,-8.6652e-10,0.5,9.91e+307,1.526042,140.0
2.0,0.0,3.3,8.5277e-10,-8.6477e-10,0.5,9.91e+307,1.52601,141.0
2.0,0.0,3.3,8.4983e-10,-8.6621e-10,0.5,9.91e+307,1.526116,142.0
2.0,0.0,3.3,8.517e-10,-8.666e-10,0.5,9.91e+307,1.526066,143.0
2.0,0.0,3.3,8.5148e-10,-8.6476e-10,0.5,9.91e+307,1.52612,144.0
2.0,0.0,3.3,8.5149e-10,-8.6461e-10,0.5,9.91e+307,1.526084,145.0
2.0,0.0,3.3,8.5046e-10,-8.6718e-10,0.5,9.91e+307,1.526114,146.0
2.0,0.0,3.3,8.5264e-10,-8.6545e-10,0.5,9.91e+307,1.526048,147.0
2.0,0.0,3.3,8.5133e-10,-8.6506e-10,0.5,9.91e+307,1.526122,148.0
2.0,0.0,3.3,8.513e-10,-8.6582e-10,0.5,9.91e+307,1.526136,149.0
2.0,0.0,3.3,8.512e-10,-8.6753e-10,0.5,9.91e+307,1.526082,150.0
2.0,0.0,3.3,8.4961e-10,-8.6622e-10,0.5,9.91e+307,1.526078,151.0
2.0,0.0,3.3,8.5336e-10,-8.6683e-10,0.5,9.91e+307,1.52612,152.0
