VIN,VOUT,VREF
2.97,2.717676455,0.25
3.036,2.783510518,0.25
3.102,2.8493252,0.25
3.168,2.915098944,0.25
3.234,2.980775078,0.25
3.3,3.046176728,0.25
0,3.71E-05,0.75
0.066,5.73E-05,0.75
0.132,0.000282546,0.75
0.198,0.001259721,0.75
0.264,0.003716677,0.75
0.33,0.008881433,0.75
0.396,0.018206915,0.75
0.462,0.032783273,0.75
0.528,0.05290045,0.75
0.594,0.078146455,0.75
0.66,0.107816222,0.75
0.726,0.141254075,0.75
0.792,0.178021703,0.75
0.858,0.217942786,0.75
0.924,0.261070556,0.75
0.99,0.307587002,0.75
1.056,0.357638656,0.75
1.122,0.411161248,0.75
1.188,0.467798578,0.75
1.254,0.526977305,0.75
1.32,0.588069738,0.75
1.386,0.650525479,0.75
1.452,0.713922939,0.75
1.518,0.777963332,0.75
1.584,0.842443094,0.75
1.65,0.907225633,0.75
1.716,0.972219344,0.75
1.782,1.037362298,0.75
1.848,1.102612085,0.75
1.914,1.167939199,0.75
1.98,1.233322741,0.75
2.046,1.298747615,0.75
2.112,1.364202664,0.75
2.178,1.42967942,0.75
2.244,1.495171241,0.75
2.31,1.560672696,0.75
2.376,1.626179104,0.75
2.442,1.691686171,0.75
2.508,1.757189671,0.75
2.574,1.82268513,0.75
2.64,1.888167485,0.75
2.706,1.953630671,0.75
2.772,2.019067062,0.75
2.838,2.084466717,0.75
2.904,2.149816263,0.75
2.97,2.215097253,0.75
3.036,2.280283636,0.75
3.102,2.345337822,0.75
3.168,2.410204423,0.75
3.234,2.474800159,0.75
3.3,2.538997453,0.75
0,1.87E-05,1
0.066,2.88E-05,1
0.132,0.000142654,1
0.198,0.000641074,1
0.264,0.001921606,1
0.33,0.004722415,1
0.396,0.01009031,1
0.462,0.019110706,1
0.528,0.032488112,1
0.594,0.050321546,1
0.66,0.07222953,1
0.726,0.097625704,1
0.792,0.125930875,1
0.858,0.156674857,1
0.924,0.189526802,1
0.99,0.224293372,1
1.056,0.260905325,1
1.122,0.299399577,1
1.188,0.339896836,1
1.254,0.382571931,1
1.32,0.427613999,1
1.386,0.475177405,1
1.452,0.525331558,1
1.518,0.578025119,1
1.584,0.633079965,1
1.65,0.690218442,1
1.716,0.749111224,1
1.782,0.8094256,1
1.848,0.870859677,1
1.914,0.9331589,1
1.98,0.996118854,1
2.046,1.059580353,1
2.112,1.123421555,1
2.178,1.187549879,1
2.244,1.251894941,1
2.31,1.316402861,1
2.376,1.381031831,1
2.442,1.445748747,1
2.508,1.51052663,1
2.574,1.57534262,1
2.64,1.640176364,1
2.706,1.705008627,1
2.772,1.769820003,1
2.838,1.834589586,1
2.904,1.899293479,1
2.97,1.963902956,1
3.036,2.02838209,1
3.102,2.092684535,1
3.168,2.156749089,1
3.234,2.220493476,1
3.3,2.283805673,1
0,8.87E-06,1.5
0.066,1.37E-05,1.5
0.132,6.80E-05,1.5
0.198,0.000306903,1.5
0.264,0.000928132,1.5
0.33,0.002319322,1.5
0.396,0.005091863,1.5
0.462,0.010008947,1.5
0.528,0.017763115,1.5
0.594,0.028727263,1.5
0.66,0.042876319,1.5
0.726,0.059903919,1.5
0.792,0.079396336,1.5
0.858,0.100955294,1.5
0.924,0.124252545,1.5
0.99,0.149040389,1.5
1.056,0.175142441,1.5
1.122,0.202438891,1.5
1.188,0.230852722,1.5
1.254,0.260339004,1.5
1.32,0.290877457,1.5
1.386,0.322467684,1.5
1.452,0.355126315,1.5
1.518,0.388885295,1.5
1.584,0.423790714,1.5
1.65,0.45990162,1.5
1.716,0.49728836,1.5
1.782,0.536030049,1.5
1.848,0.576210838,1.5
1.914,0.617914783,1.5
1.98,0.661219331,1.5
2.046,0.706187772,1.5
2.112,0.75286141,1.5
2.178,0.801252564,1.5
2.244,0.851339698,1.5
2.31,0.90306578,1.5
2.376,0.956340379,1.5
2.442,1.011045166,1.5
2.508,1.067041755,1.5
2.574,1.124180357,1.5
2.64,1.18230784,1.5
2.706,1.241274159,1.5
2.772,1.300936708,1.5
2.838,1.36116259,1.5
2.904,1.421829105,1.5
2.97,1.482822877,1.5
3.036,1.544037984,1.5
3.102,1.605373416,1.5
3.168,1.666730044,1.5
3.234,1.728007213,1.5
3.3,1.789098992,1.5
0,1.22E-05,1.25
0.066,1.89E-05,1.25
0.132,9.34E-05,1.25
0.198,0.000420798,1.25
0.264,0.001268696,1.25
0.33,0.003151945,1.25
0.396,0.006853053,1.25
0.462,0.013287326,1.25
0.528,0.023197061,1.25
0.594,0.036883511,1.25
0.66,0.054190786,1.25
0.726,0.074690378,1.25
0.792,0.097880883,1.25
0.858,0.123307778,1.25
0.924,0.150609296,1.25
0.99,0.179521738,1.25
1.056,0.209868772,1.25
1.122,0.241547086,1.25
1.188,0.274513321,1.25
1.254,0.308773555,1.25
1.32,0.344375022,1.25
1.386,0.381399046,1.25
1.452,0.419953888,1.25
1.518,0.460166164,1.25
1.584,0.502169642,1.25
1.65,0.546090868,1.25
1.716,0.592032142,1.25
1.782,0.640053934,1.25
1.848,0.690160351,1.25
1.914,0.742291682,1.25
1.98,0.796326725,1.25
2.046,0.85209467,1.25
2.112,0.909393205,1.25
2.178,0.968008013,1.25
2.244,1.027729411,1.25
2.31,1.088363877,1.25
2.376,1.149740184,1.25
2.442,1.211711198,1.25
2.508,1.27415276,1.25
2.574,1.336960959,1.25
2.64,1.400048732,1.25
2.706,1.46334234,1.25
2.772,1.526778003,1.25
2.838,1.59029878,1.25
2.904,1.65385165,1.25
2.97,1.717384706,1.25
3.036,1.780844306,1.25
3.102,1.844172028,1.25
3.168,1.907301207,1.25
3.234,1.970152857,1.25
3.3,2.032630744,1.25
