VIN,VSS,VDD,IDD,ISS,VREF,IREF,VOUT
2.95,0.0,3.3,5.506e-11,9.91e+307,0.25,9.91e+307,2.28476
3.0,0.0,3.3,6.191e-11,9.91e+307,0.25,9.91e+307,2.28684
0.0,0.0,3.3,1.17e-12,9.91e+307,0.5,9.91e+307,1.752594
0.05,0.0,3.3,8e-14,9.91e+307,0.5,9.91e+307,0.000106
0.1,0.0,3.3,6.7e-13,9.91e+307,0.5,9.91e+307,0.0001
0.15,0.0,3.3,4.4e-12,9.91e+307,0.5,9.91e+307,0.000122
0.2,0.0,3.3,2.324e-11,9.91e+307,0.5,9.91e+307,0.000258
0.25,0.0,3.3,1.1139e-10,9.91e+307,0.5,9.91e+307,0.000904
0.3,0.0,3.3,4.4556e-10,9.91e+307,0.5,9.91e+307,0.00335
0.35,0.0,3.3,1.27513e-09,9.91e+307,0.5,9.91e+307,0.009006
0.4,0.0,3.3,2.83989e-09,9.91e+307,0.5,9.91e+307,0.021866
0.45,0.0,3.3,4.28539e-09,9.91e+307,0.5,9.91e+307,0.040456
0.5,0.0,3.3,6.70083e-09,9.91e+307,0.5,9.91e+307,0.057808
0.55,0.0,3.3,7.59829e-09,9.91e+307,0.5,9.91e+307,0.085526
0.6,0.0,3.3,1.11728e-08,9.91e+307,0.5,9.91e+307,0.095866
0.65,0.0,3.3,5.8188e-09,9.91e+307,0.5,9.91e+307,0.090238
0.7,0.0,3.3,4.348e-09,9.91e+307,0.5,9.91e+307,0.184044
0.75,0.0,3.3,9.2254e-09,9.91e+307,0.5,9.91e+307,0.097704
0.8,0.0,3.3,9.0187e-09,9.91e+307,0.5,9.91e+307,0.116014
0.85,0.0,3.3,1.16404e-08,9.91e+307,0.5,9.91e+307,0.24745
0.9,0.0,3.3,1.18245e-08,9.91e+307,0.5,9.91e+307,0.232586
0.95,0.0,3.3,9.9887e-09,9.91e+307,0.5,9.91e+307,0.44021
1.0,0.0,3.3,1.09298e-08,9.91e+307,0.5,9.91e+307,0.26643
1.05,0.0,3.3,8.1332e-09,9.91e+307,0.5,9.91e+307,0.336464
1.1,0.0,3.3,1.0751e-08,9.91e+307,0.5,9.91e+307,0.502046
1.15,0.0,3.3,1.06523e-08,9.91e+307,0.5,9.91e+307,0.500974
1.2,0.0,3.3,1.23507e-08,9.91e+307,0.5,9.91e+307,0.449012
1.25,0.0,3.3,5.9217e-09,9.91e+307,0.5,9.91e+307,0.0961
1.3,0.0,3.3,2.37066e-09,9.91e+307,0.5,9.91e+307,0.013848
1.35,0.0,3.3,1.43385e-09,9.91e+307,0.5,9.91e+307,0.011878
1.4,0.0,3.3,2.56708e-09,9.91e+307,0.5,9.91e+307,0.017572
1.45,0.0,3.3,2.96734e-09,9.91e+307,0.5,9.91e+307,0.019916
1.5,0.0,3.3,3.14461e-09,9.91e+307,0.5,9.91e+307,0.02348
1.55,0.0,3.3,2.10389e-09,9.91e+307,0.5,9.91e+307,0.032242
1.6,0.0,3.3,4.0605e-09,9.91e+307,0.5,9.91e+307,0.038292
1.65,0.0,3.3,4.49336e-09,9.91e+307,0.5,9.91e+307,0.041458
1.7,0.0,3.3,6.50443e-09,9.91e+307,0.5,9.91e+307,0.054742
1.75,0.0,3.3,5.12744e-09,9.91e+307,0.5,9.91e+307,0.05118
1.8,0.0,3.3,3.10625e-09,9.91e+307,0.5,9.91e+307,0.027934
1.85,0.0,3.3,4.2303e-09,9.91e+307,0.5,9.91e+307,0.035242
1.9,0.0,3.3,3.63505e-09,9.91e+307,0.5,9.91e+307,0.031924
1.95,0.0,3.3,1.99549e-09,9.91e+307,0.5,9.91e+307,0.017838
2.0,0.0,3.3,3.21486e-09,9.91e+307,0.5,9.91e+307,0.014614
2.05,0.0,3.3,4.34625e-09,9.91e+307,0.5,9.91e+307,0.029182
2.1,0.0,3.3,5.32901e-09,9.91e+307,0.5,9.91e+307,0.045634
2.15,0.0,3.3,6.29726e-09,9.91e+307,0.5,9.91e+307,0.028634
2.2,0.0,3.3,8.65988e-09,9.91e+307,0.5,9.91e+307,0.071866
2.25,0.0,3.3,9.49428e-09,9.91e+307,0.5,9.91e+307,0.086244
2.3,0.0,3.3,6.2298e-09,9.91e+307,0.5,9.91e+307,0.081386
2.35,0.0,3.3,5.15147e-09,9.91e+307,0.5,9.91e+307,0.035228
2.4,0.0,3.3,6.00631e-09,9.91e+307,0.5,9.91e+307,0.044032
2.45,0.0,3.3,6.44053e-09,9.91e+307,0.5,9.91e+307,0.06733
2.5,0.0,3.3,9.75708e-09,9.91e+307,0.5,9.91e+307,0.106324
2.55,0.0,3.3,1.11518e-08,9.91e+307,0.5,9.91e+307,0.19104
2.6,0.0,3.3,1.26032e-08,9.91e+307,0.5,9.91e+307,0.369974
2.65,0.0,3.3,1.14322e-08,9.91e+307,0.5,9.91e+307,0.468262
2.7,0.0,3.3,1.06831e-08,9.91e+307,0.5,9.91e+307,0.511442
2.75,0.0,3.3,1.12406e-08,9.91e+307,0.5,9.91e+307,0.501818
2.8,0.0,3.3,1.20863e-08,9.91e+307,0.5,9.91e+307,0.510826
