VG,ID,VD
2.1,3.00E-05,3.30E+00
2.2,3.38E-05,3.30E+00
2.3,3.78E-05,3.30E+00
2.4,4.20E-05,3.30E+00
2.5,4.64E-05,3.30E+00
2.6,5.10E-05,3.30E+00
2.7,5.59E-05,3.30E+00
2.8,6.09E-05,3.30E+00
2.9,6.61E-05,3.30E+00
3,7.14E-05,3.30E+00
